"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"A1BG",8,26,6,73,89,147,71,122,109,76
"A1BG-AS1",2,7,5,55,60,80,37,64,64,41
"A1CF",108,72,175,368,181,292,145,86,55,167
"A2M",2384,1440,1860,29635,16992,33381,15018,14673,27463,13666
"A2M-AS1",181,106,110,1673,1058,1804,728,1167,1253,875
"A2ML1",0,0,0,0,0,2,826,96,21,6
"A2MP1",1,0,0,3,3,3,1,1,2,0
"A3GALT2",0,0,0,1,0,1,0,0,0,0
"A4GALT",16,14,9,177,195,217,100,256,360,217
"A4GNT",14,20,19,68,234,39,7,5,3,119
"AA06",0,0,0,0,0,0,0,0,0,0
"AAAS",105,131,143,572,273,432,504,384,337,331
"AACS",125,139,132,409,506,834,451,459,441,701
"AACSP1",1,1,0,3,4,2,3,1,1,2
"AADAC",292,288,160,781,1019,120,139,279,6,277
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,2,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,1,1
"AADACP1",29,7,5,6,18,86,140,11,1,23
"AADAT",16,25,17,96,61,82,93,85,99,41
"AAED1",32,37,32,143,159,187,214,234,350,299
"AAGAB",216,205,182,683,657,1158,1365,1353,1354,1044
"AAK1",132,166,191,405,641,757,624,460,1180,603
"AAMDC",108,65,85,345,279,347,399,430,256,311
"AAMP",533,593,584,1577,1544,2211,1920,2102,2048,2215
"AANAT",0,0,1,1,1,2,1,2,0,2
"AAR2",165,176,175,649,511,983,831,741,787,671
"AARD",0,1,1,14,4,9,2,8,11,9
"AARS",1210,1020,1293,2253,1688,2825,2476,2767,2120,2551
"AARS2",58,58,47,240,246,362,304,321,326,321
"AARSD1",0,0,0,0,0,0,0,0,0,0
"AASDH",64,89,77,231,278,270,357,270,266,238
"AASDHPPT",225,250,301,840,649,639,908,702,793,583
"AASS",30,68,97,356,313,362,366,209,380,197
"AATF",180,220,250,643,616,1068,826,1059,819,878
"AATK",163,189,112,223,333,185,245,48,119,310
"AATK-AS1",6,2,2,4,3,0,0,0,0,0
"ABAT",1849,2568,2682,1685,1396,865,534,293,257,1015
"ABCA1",152,138,169,672,1047,1022,1837,1210,2803,1758
"ABCA10",13,29,32,141,209,87,112,55,142,78
"ABCA11P",19,28,16,83,60,53,69,61,64,47
"ABCA12",2,0,0,0,3,347,202,51,64,88
"ABCA13",2,5,4,9,26,107,86,35,104,59
"ABCA17P",2,1,2,6,7,5,5,8,6,6
"ABCA2",182,164,164,530,1004,1209,936,1145,1105,933
"ABCA3",120,154,91,274,423,447,229,405,264,1254
"ABCA4",0,1,1,7,8,6,15,18,5,6
"ABCA5",268,291,308,773,812,296,304,207,274,669
"ABCA6",29,37,45,392,618,456,497,122,944,734
"ABCA7",94,71,76,196,248,251,720,347,400,227
"ABCA8",86,152,157,655,2210,424,735,160,2132,761
"ABCA9",24,58,50,397,360,364,331,78,690,335
"ABCB1",25,66,41,1042,798,891,133,228,245,175
"ABCB10",40,78,71,305,379,465,369,300,484,779
"ABCB11",0,0,0,1,3,13,30,0,30,0
"ABCB4",2,7,2,29,68,64,40,51,43,76
"ABCB5",0,1,0,20,10,6,15,10,27,14
"ABCB6",65,41,64,137,186,267,190,277,181,294
"ABCB7",101,125,131,337,316,501,504,517,451,508
"ABCB8",71,63,52,211,201,417,360,386,414,502
"ABCB9",16,13,14,66,91,126,221,64,99,87
"ABCC1",121,122,100,411,654,1120,831,966,1358,2264
"ABCC10",75,75,64,224,272,519,318,272,362,342
"ABCC11",1,1,0,1,11,3,24,10,0,38
"ABCC12",4,1,3,5,9,1,0,0,0,5
"ABCC13",0,0,0,0,0,3,0,1,0,0
"ABCC2",3,5,1,12,18,7,13,20,22,9
"ABCC3",210,222,277,1773,3027,3353,2483,4072,1166,9585
"ABCC4",103,64,84,346,388,518,437,482,789,661
"ABCC5",54,67,66,594,416,610,725,329,703,1039
"ABCC5-AS1",0,0,0,0,0,0,1,0,1,0
"ABCC6",107,116,98,119,81,40,41,44,32,72
"ABCC6P1",11,10,17,23,12,7,7,15,2,16
"ABCC6P2",7,8,8,6,15,2,7,21,3,22
"ABCC8",69,124,62,632,1297,523,1,49,132,11
"ABCC9",108,82,62,585,1858,681,555,187,2235,407
"ABCD1",142,81,92,263,200,296,267,227,404,300
"ABCD2",0,6,0,27,45,42,33,6,101,16
"ABCD3",346,373,387,924,1334,1375,1753,870,899,1585
"ABCD4",83,104,103,436,421,556,633,666,542,536
"ABCE1",313,368,321,1148,1133,1279,2170,1444,1619,1706
"ABCF1",0,0,0,0,0,0,0,0,0,0
"ABCF2",142,111,132,522,479,827,957,766,935,760
"ABCF3",246,241,241,603,517,840,799,663,749,984
"ABCG1",26,34,14,225,394,534,829,715,815,1180
"ABCG2",10,7,16,114,132,284,170,428,227,178
"ABCG4",0,3,0,0,5,2,2,8,3,6
"ABCG5",0,1,0,0,0,7,2,10,1,16
"ABCG8",0,0,0,0,1,3,0,10,0,11
"ABHD1",17,10,7,42,26,44,31,36,58,36
"ABHD10",240,182,192,531,585,549,620,533,474,795
"ABHD11",80,78,113,355,255,233,327,870,647,437
"ABHD12",781,825,769,1385,1204,1111,1133,1417,1436,1589
"ABHD12B",0,1,0,1,1,2,1,5,2,4
"ABHD13",95,104,119,546,621,673,909,685,858,784
"ABHD14A",60,43,43,119,168,80,65,121,94,79
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0
"ABHD14B",408,529,505,1260,1176,1168,1509,1401,1005,844
"ABHD15",63,76,68,274,390,460,376,422,418,399
"ABHD16A",0,0,0,0,0,0,0,0,0,0
"ABHD16B",10,14,16,40,74,76,90,109,69,79
"ABHD17A",271,242,220,695,776,899,969,780,1263,760
"ABHD17B",41,56,53,222,241,261,294,260,399,289
"ABHD17C",44,42,43,96,319,550,1110,1025,1219,1897
"ABHD2",972,1302,1084,3204,6099,10164,12816,5695,7250,10306
"ABHD3",60,69,61,294,310,639,464,497,468,511
"ABHD4",111,118,107,683,500,935,1000,652,1080,923
"ABHD5",109,104,107,368,414,634,832,359,688,590
"ABHD6",23,24,20,99,158,159,254,115,146,129
"ABHD8",89,62,67,154,183,245,240,263,239,212
"ABI1",213,232,265,1261,1079,1889,1687,1372,2006,2135
"ABI2",93,125,110,707,859,1340,1039,894,1228,755
"ABI3",33,21,16,266,174,366,190,176,385,321
"ABI3BP",64,88,60,1106,1852,956,605,274,1451,863
"ABL1",198,221,165,679,1551,1342,1240,1272,2224,1451
"ABL2",108,130,93,485,719,1099,974,605,2299,1338
"ABLIM1",387,428,437,2403,2908,2894,2557,2490,4082,5882
"ABLIM2",35,47,50,111,194,105,75,317,180,140
"ABLIM3",28,17,26,185,388,1060,1186,1851,652,558
"ABO",37,8,46,33,22,131,361,361,158,22
"ABR",124,135,87,1102,1073,2107,2003,1902,2766,1742
"ABRA",0,0,0,1,0,1,2,0,5,1
"ABRACL",36,54,56,474,316,832,630,608,980,688
"ABT1",156,153,145,418,399,612,627,496,553,399
"ABTB1",121,96,89,410,386,645,464,402,637,607
"ABTB2",23,15,11,103,149,303,179,509,337,345
"AC093375.1",3,1,0,2,6,0,7,1,1,10
"ACAA1",600,485,490,1148,1120,1258,1973,1406,1114,796
"ACAA2",480,504,439,1676,1445,1412,1675,1444,1334,2124
"ACACA",119,127,124,451,773,1243,802,972,1169,1302
"ACACB",218,288,222,585,837,736,474,332,835,310
"ACAD10",112,120,138,303,315,382,341,315,315,334
"ACAD11",6,5,7,24,15,33,36,16,19,22
"ACAD8",162,158,157,348,325,355,339,412,334,346
"ACAD9",145,129,159,491,352,565,513,596,552,652
"ACADL",152,178,153,229,115,40,20,20,41,40
"ACADM",520,566,609,1190,1142,1103,1299,821,887,1131
"ACADS",251,163,157,287,338,334,318,312,301,375
"ACADSB",228,253,274,453,529,536,267,278,465,477
"ACADVL",1948,1834,2207,3967,3367,3015,3111,2958,3522,2556
"ACAN",0,0,0,5,17,82,29,103,67,79
"ACAP1",6,5,9,125,165,128,103,85,263,101
"ACAP2",121,147,172,890,1140,1768,1518,1156,1991,1942
"ACAP3",91,99,103,309,365,496,439,351,478,315
"ACAT1",1359,1331,1230,2123,1525,885,719,675,1045,803
"ACAT2",74,140,126,581,410,880,573,895,534,558
"ACBD3",284,397,362,1183,1465,2035,2387,1884,2789,3923
"ACBD4",77,83,79,213,169,183,163,412,152,112
"ACBD5",142,150,164,708,756,1104,949,667,939,1707
"ACBD6",138,154,161,449,438,613,549,666,696,843
"ACBD7",2,3,2,12,16,26,9,26,22,6
"ACCS",74,49,46,249,149,100,91,211,145,153
"ACCSL",0,0,0,0,0,1,0,0,0,0
"ACD",47,60,45,177,134,237,186,260,197,177
"ACE",55,49,78,307,529,657,546,377,447,972
"ACE2",24,12,21,188,366,81,230,594,51,397
"ACER1",0,0,0,1,1,0,0,0,1,0
"ACER2",21,16,16,24,78,57,287,45,79,69
"ACER3",41,42,59,292,284,746,660,549,641,647
"ACHE",1,9,1,43,46,148,80,99,540,171
"ACIN1",320,368,364,1667,1449,2444,2489,1795,2032,1919
"ACKR1",18,64,41,542,861,149,153,8,716,187
"ACKR2",2,12,7,45,32,64,22,19,41,16
"ACKR3",514,564,622,716,956,759,970,792,785,985
"ACKR4",40,77,67,101,157,67,415,141,108,165
"ACLY",470,563,474,1873,2395,3173,2378,2558,3109,1815
"ACMSD",5,7,8,15,12,49,154,16,18,177
"ACN9",90,69,107,209,300,173,344,491,242,275
"ACO1",587,680,587,1129,1256,1044,1331,916,1296,1618
"ACO2",501,579,593,1314,1414,1866,1732,1422,1357,2487
"ACOT1",13,30,37,62,99,78,147,43,101,94
"ACOT11",20,35,40,90,97,210,320,233,125,233
"ACOT12",0,0,0,1,0,0,0,0,0,0
"ACOT13",169,177,216,560,569,732,927,749,535,557
"ACOT2",60,62,73,228,253,315,445,277,445,395
"ACOT4",21,26,24,75,53,81,178,120,101,150
"ACOT6",3,5,0,0,2,2,3,1,1,5
"ACOT7",51,38,30,157,203,409,896,392,315,562
"ACOT8",102,78,114,234,191,305,463,391,254,266
"ACOT9",78,90,81,432,468,940,1047,891,985,944
"ACOX1",521,832,615,1279,1249,1811,2398,871,1084,1625
"ACOX2",37,99,41,154,143,151,73,111,119,88
"ACOX3",171,96,112,303,200,255,165,170,228,247
"ACOXL",0,0,1,4,4,4,2,1,26,8
"ACP1",573,594,632,1466,1241,1435,2090,1436,1192,1716
"ACP2",219,196,230,562,545,646,788,658,816,803
"ACP5",45,66,100,813,421,1392,1541,643,1518,4046
"ACP6",30,58,67,141,149,191,376,259,216,244
"ACPP",9,10,16,54,45,112,43,42,63,232
"ACPT",0,0,0,0,0,0,0,1,0,0
"ACR",0,0,1,0,1,0,0,2,3,1
"ACRBP",19,17,21,74,38,50,50,37,75,55
"ACRC",10,2,7,31,22,12,27,14,19,22
"ACRV1",0,0,0,1,2,1,1,1,0,1
"ACSBG1",3,5,0,10,23,17,4,6,10,8
"ACSBG2",1,1,2,0,3,1,1,1,1,3
"ACSF2",89,87,97,337,371,443,481,742,313,1704
"ACSF3",91,97,76,153,233,340,272,353,326,420
"ACSL1",242,391,319,933,1399,1193,1539,1670,4055,2227
"ACSL3",200,142,175,742,1107,1623,1292,1549,1813,2479
"ACSL4",137,139,189,1315,1305,2020,2696,2047,2424,2393
"ACSL5",37,46,54,483,1550,3833,2956,2294,2344,7113
"ACSL6",16,15,24,36,122,21,8,10,38,18
"ACSM1",20,14,26,49,33,56,86,13,8,91
"ACSM2A",0,0,0,2,1,0,0,0,0,0
"ACSM2B",0,2,1,8,0,1,0,0,0,1
"ACSM3",301,419,352,630,479,176,852,289,121,756
